Tweet Link,Author Handle,Tweet Content,Views,Likes,Retweets,Replies,Tweet Creation Date,Scraped Date
https://x.com/sennin_ai/status/2007759409510805983,"sennin_ai","We tried to stop it from overthinking.

We failed.",193363,53,3,3,2026-01-06T16:08:22.874+00:00,2026-01-06T16:08:44.729686+00:00
https://x.com/Thegal121183753/status/2008569034791678052,"Thegal121183753","Waw",0,0,0,0,2026-01-06T15:59:09+00:00,2026-01-06T16:08:44.729686+00:00
https://x.com/Quintin24/status/2008568608407121981,"Quintin24","@grok
 who is he?",11,0,0,1,2026-01-06T15:57:28+00:00,2026-01-06T16:08:44.729686+00:00
https://x.com/Jla1905/status/2008564768710545550,"Jla1905","@grok
 make him bald and resemble Enzo Maresca.",22,0,0,1,2026-01-06T15:42:12+00:00,2026-01-06T16:08:44.729686+00:00
https://x.com/Shmurk__zw/status/2008556456170471513,"Shmurk__zw","@grok
 remove Liam rosenior name and put Arnold Masoha",23,0,0,1,2026-01-06T15:09:10+00:00,2026-01-06T16:08:44.729686+00:00
https://x.com/iamYarri/status/2008550918539837441,"iamYarri","I predicted this
They need some one they can control without him battling and eye.
They need a 'yes sir' man",5,1,0,0,2026-01-06T14:47:10+00:00,2026-01-06T16:08:44.729686+00:00
https://x.com/Officialcruiz2/status/2008550283832611105,"Officialcruiz2","@grok
 what is the likes count?",10,0,0,1,2026-01-06T14:44:39+00:00,2026-01-06T16:08:44.729686+00:00
https://x.com/kentskennedy/status/2008549801722556522,"kentskennedy","@grok
 just lol  it will end tears",16,0,0,1,2026-01-06T14:42:44+00:00,2026-01-06T16:08:44.729686+00:00
https://x.com/kunlekay2002/status/2008548718166110665,"kunlekay2002","@grok
 who is Liam?",14,0,0,1,2026-01-06T14:38:26+00:00,2026-01-06T16:08:44.729686+00:00
https://x.com/callmesimzy/status/2008546009237065964,"callmesimzy","@grok
 who is this guy and what's his achievements in football",20,0,0,1,2026-01-06T14:27:40+00:00,2026-01-06T16:08:44.729686+00:00
https://x.com/OKHASEME1/status/2008545146242298129,"OKHASEME1","Well, hope this new coach meets the expectation of the board and fans. Big coaches tend to turn down the chelsea job offer.",8,0,0,0,2026-01-06T14:24:14+00:00,2026-01-06T16:08:44.729686+00:00
https://x.com/ade_square01/status/2008544786920427907,"ade_square01","Chelsea always sign coaches for 6 and half years before they'll fire them a year later after disastrous campaign. I pray he managed to see till December end as Chelsea coach before they sack him.",13,1,1,0,2026-01-06T14:22:48+00:00,2026-01-06T16:08:44.729686+00:00
